mes_trigo,precio_dolar_trigo_ton,precio_COP_trigo_ton,año_impo,impo_canti_miles_ton,fecha_ipc,ipc %,fecha_trm, trm 
05/01/1996,$ 262," $ 279,423 ",2001,1161,2001-05,0.42,05/01/1995," $ 27,180 "
06/01/1996,$ 227," $ 243,706 ",2002,1166,2001-06,0.04,06/01/1995," $ 26,236 "
07/01/1996,$ 203," $ 215,587 ",2003,1246,2001-07,0.11,07/01/1995," $ 27,662 "
08/01/1996,$ 192," $ 200,289 ",2004,1248,2001-08,0.26,08/01/1995," $ 29,006 "
09/01/1996,$ 179," $ 186,012 ",2005,1311,2001-09,0.37,09/01/1995," $ 28,901 "
10/01/1996,$ 178," $ 180,808 ",2006,1241,2001-10,0.19,10/01/1995," $ 30,538 "
11/01/1996,$ 176," $ 176,125 ",2007,1309,2001-11,0.12,11/01/1995," $ 30,013 "
12/01/1996,$ 176," $ 175,854 ",2008,1403,2001-12,0.34,12/01/1995," $ 30,601 "
01/01/1997,$ 176," $ 180,627 ",2009,1424,2002-01,0.8,01/01/1996," $ 31,317 "
02/01/1997,$ 172," $ 185,146 ",2010,1479,2002-02,1.26,02/01/1996," $ 29,844 "
03/01/1997,$ 177," $ 187,568 ",2011,1525,2002-03,0.71,03/01/1996," $ 32,394 "
04/01/1997,$ 183," $ 194,619 ",2012,1507,2002-04,0.92,04/01/1996," $ 31,521 "
05/01/1997,$ 173," $ 185,492 ",2013,1746,2002-05,0.6,05/01/1996," $ 33,039 "
06/01/1997,$ 148," $ 160,579 ",2014,1627,2002-06,0.43,06/01/1996," $ 32,148 "
07/01/1997,$ 136," $ 150,157 ",2015,2032,2002-07,0.02,07/01/1996," $ 32,983 "
08/01/1997,$ 151," $ 170,445 ",2016,2110,2002-08,0.09,08/01/1996," $ 32,396 "
09/01/1997,$ 152," $ 185,501 ",2017,1952,2002-09,0.36,09/01/1996," $ 31,204 "
10/01/1997,$ 152," $ 191,457 ",2018,1705,2002-10,0.56,10/01/1996," $ 31,479 "
11/01/1997,$ 150," $ 193,980 ",2019,2276,2002-11,0.78,11/01/1996," $ 29,960 "
12/01/1997,$ 145," $ 187,473 ",2020,1906,2002-12,0.27,12/01/1996," $ 31,050 "
01/01/1998,$ 137," $ 181,356 ",2021,2040,2003-01,1.17,01/01/1997," $ 31,753 "
02/01/1998,$ 140," $ 188,524 ",2022,2300,2003-02,1.11,02/01/1997," $ 30,043 "
03/01/1998,$ 139," $ 188,528 ",,,2003-03,1.05,03/01/1997," $ 32,922 "
04/01/1998,$ 130," $ 177,080 ",,,2003-04,1.15,04/01/1997," $ 31,807 "
05/01/1998,$ 129," $ 178,771 ",,,2003-05,0.49,05/01/1997," $ 33,310 "
06/01/1998,$ 121," $ 167,163 ",,,2003-06,-0.05,06/01/1997," $ 32,466 "
07/01/1998,$ 119," $ 163,103 ",,,2003-07,-0.14,07/01/1997," $ 34,178 "
08/01/1998,$ 108," $ 149,905 ",,,2003-08,0.31,08/01/1997," $ 35,142 "
09/01/1998,$ 108," $ 164,110 ",,,2003-09,0.22,09/01/1997," $ 36,685 "
10/01/1998,$ 127," $ 200,886 ",,,2003-10,0.06,10/01/1997," $ 39,143 "
11/01/1998,$ 130," $ 203,561 ",,,2003-11,0.35,11/01/1997," $ 38,837 "
12/01/1998,$ 126," $ 192,136 ",,,2003-12,0.61,12/01/1997," $ 40,163 "
01/01/1999,$ 125," $ 196,678 ",,,2004-01,0.89,01/01/1998," $ 40,964 "
02/01/1999,$ 117," $ 183,401 ",,,2004-02,1.2,02/01/1998," $ 37,696 "
03/01/1999,$ 117," $ 181,864 ",,,2004-03,0.98,03/01/1998," $ 42,071 "
04/01/1999,$ 114," $ 179,560 ",,,2004-04,0.46,04/01/1998," $ 40,798 "
05/01/1999,$ 113," $ 184,962 ",,,2004-05,0.38,05/01/1998," $ 42,946 "
06/01/1999,$ 111," $ 188,664 ",,,2004-06,0.6,06/01/1998," $ 41,535 "
07/01/1999,$ 103," $ 187,044 ",,,2004-07,-0.03,07/01/1998," $ 42,522 "
08/01/1999,$ 111," $ 208,547 ",,,2004-08,0.03,08/01/1998," $ 43,112 "
09/01/1999,$ 113," $ 223,844 ",,,2004-09,0.3,09/01/1998," $ 45,704 "
10/01/1999,$ 108," $ 213,871 ",,,2004-10,-0.01,10/01/1998," $ 49,228 "
11/01/1999,$ 109," $ 211,795 ",,,2004-11,0.28,11/01/1998," $ 46,865 "
12/01/1999,$ 102," $ 192,868 ",,,2004-12,0.3,12/01/1998," $ 47,135 "
01/01/2000,$ 106," $ 203,666 ",,,2005-01,0.82,01/01/1999," $ 48,607 "
02/01/2000,$ 108," $ 210,533 ",,,2005-02,1.02,02/01/1999," $ 43,872 "
03/01/2000,$ 106," $ 206,761 ",,,2005-03,0.77,03/01/1999," $ 48,025 "
04/01/2000,$ 105," $ 208,927 ",,,2005-04,0.44,04/01/1999," $ 47,119 "
05/01/2000,$ 112," $ 230,468 ",,,2005-05,0.41,05/01/1999," $ 50,908 "
06/01/2000,$ 114," $ 240,700 ",,,2005-06,0.4,06/01/1999," $ 50,748 "
07/01/2000,$ 109," $ 235,534 ",,,2005-07,0.05,07/01/1999," $ 56,254 "
08/01/2000,$ 108," $ 237,023 ",,,2005-08,0,08/01/1999," $ 58,249 "
09/01/2000,$ 117," $ 260,095 ",,,2005-09,0.43,09/01/1999," $ 59,279 "
10/01/2000,$ 128," $ 279,022 ",,,2005-10,0.23,10/01/1999," $ 61,335 "
11/01/2000,$ 128," $ 272,868 ",,,2005-11,0.11,11/01/1999," $ 58,363 "
12/01/2000,$ 128," $ 279,448 ",,,2005-12,0.07,12/01/1999," $ 58,512 "
01/01/2001,$ 133," $ 297,748 ",,,2006-01,0.54,01/01/2000," $ 59,578 "
02/01/2001,$ 128," $ 287,405 ",,,2006-02,0.66,02/01/2000," $ 56,546 "
03/01/2001,$ 130," $ 296,600 ",,,2006-03,0.7,03/01/2000," $ 60,645 "
04/01/2001,$ 130," $ 301,236 ",,,2006-04,0.45,04/01/2000," $ 59,639 "
05/01/2001,$ 135," $ 316,186 ",,,2006-05,0.33,05/01/2000," $ 63,721 "
06/01/2001,$ 127," $ 293,306 ",,,2006-06,0.3,06/01/2000," $ 63,592 "
07/01/2001,$ 124," $ 285,214 ",,,2006-07,0.41,07/01/2000," $ 66,967 "
08/01/2001,$ 122," $ 279,034 ",,,2006-08,0.39,08/01/2000," $ 67,805 "
09/01/2001,$ 122," $ 284,154 ",,,2006-09,0.29,09/01/2000," $ 66,424 "
10/01/2001,$ 123," $ 286,292 ",,,2006-10,-0.14,10/01/2000," $ 67,474 "
11/01/2001,$ 125," $ 289,397 ",,,2006-11,0.24,11/01/2000," $ 64,059 "
12/01/2001,$ 122," $ 282,588 ",,,2006-12,0.23,12/01/2000," $ 67,808 "
01/01/2002,$ 125," $ 285,192 ",,,2007-01,0.77,01/01/2001," $ 69,512 "
02/01/2002,$ 123," $ 282,031 ",,,2007-02,1.17,02/01/2001," $ 62,820 "
03/01/2002,$ 123," $ 279,540 ",,,2007-03,1.21,03/01/2001," $ 70,662 "
04/01/2002,$ 124," $ 279,991 ",,,2007-04,0.9,04/01/2001," $ 69,696 "
05/01/2002,$ 121," $ 280,321 ",,,2007-05,0.3,05/01/2001," $ 72,788 "
06/01/2002,$ 132," $ 311,685 ",,,2007-06,0.12,06/01/2001," $ 69,143 "
07/01/2002,$ 149," $ 373,578 ",,,2007-07,0.17,07/01/2001," $ 71,437 "
08/01/2002,$ 161," $ 426,570 ",,,2007-08,-0.13,08/01/2001," $ 70,928 "
09/01/2002,$ 188," $ 516,792 ",,,2007-09,0.08,09/01/2001," $ 69,832 "
10/01/2002,$ 190," $ 538,467 ",,,2007-10,0.01,10/01/2001," $ 71,920 "
11/01/2002,$ 177," $ 484,702 ",,,2007-11,0.47,11/01/2001," $ 69,310 "
12/01/2002,$ 162," $ 457,086 ",,,2007-12,0.49,12/01/2001," $ 71,490 "
01/01/2003,$ 150," $ 435,328 ",,,2008-01,1.06,01/01/2002," $ 70,586 "
02/01/2003,$ 151," $ 445,237 ",,,2008-02,1.51,02/01/2002," $ 64,007 "
03/01/2003,$ 142," $ 419,616 ",,,2008-03,0.81,03/01/2002," $ 70,688 "
04/01/2003,$ 139," $ 405,660 ",,,2008-04,0.71,04/01/2002," $ 67,908 "
05/01/2003,$ 142," $ 405,805 ",,,2008-05,0.93,05/01/2002," $ 71,567 "
06/01/2003,$ 131," $ 371,320 ",,,2008-06,0.86,06/01/2002," $ 70,834 "
07/01/2003,$ 132," $ 376,279 ",,,2008-07,0.48,07/01/2002," $ 77,695 "
08/01/2003,$ 149," $ 426,482 ",,,2008-08,0.19,08/01/2002," $ 82,020 "
09/01/2003,$ 146," $ 413,572 ",,,2008-09,-0.19,09/01/2002," $ 82,673 "
10/01/2003,$ 147," $ 424,124 ",,,2008-10,0.35,10/01/2002," $ 87,733 "
11/01/2003,$ 161," $ 456,692 ",,,2008-11,0.28,11/01/2002," $ 81,940 "
12/01/2003,$ 166," $ 465,026 ",,,2008-12,0.44,12/01/2002," $ 87,240 "
01/01/2004,$ 166," $ 457,306 ",,,2009-01,0.59,01/01/2003," $ 90,071 "
02/01/2004,$ 161," $ 438,649 ",,,2009-02,0.84,02/01/2003," $ 82,615 "
03/01/2004,$ 166," $ 444,101 ",,,2009-03,0.5,03/01/2003," $ 91,718 "
04/01/2004,$ 167," $ 439,164 ",,,2009-04,0.32,04/01/2003," $ 87,770 "
05/01/2004,$ 164," $ 445,205 ",,,2009-05,0.01,05/01/2003," $ 88,541 "
06/01/2004,$ 155," $ 419,999 ",,,2009-06,-0.06,06/01/2003," $ 84,822 "
07/01/2004,$ 151," $ 399,740 ",,,2009-07,-0.04,07/01/2003," $ 88,635 "
08/01/2004,$ 141," $ 367,597 ",,,2009-08,0.04,08/01/2003," $ 88,822 "
09/01/2004,$ 151," $ 385,453 ",,,2009-09,-0.11,09/01/2003," $ 85,220 "
10/01/2004,$ 150," $ 387,826 ",,,2009-10,-0.13,10/01/2003," $ 89,092 "
11/01/2004,$ 157," $ 395,982 ",,,2009-11,-0.07,11/01/2003," $ 85,396 "
12/01/2004,$ 154," $ 371,892 ",,,2009-12,0.08,12/01/2003," $ 87,003 "
01/01/2005,$ 154," $ 362,900 ",,,2010-01,0.69,01/01/2004," $ 85,275 "
02/01/2005,$ 151," $ 353,841 ",,,2010-02,0.83,02/01/2004," $ 78,829 "
03/01/2005,$ 151," $ 355,380 ",,,2010-03,0.25,03/01/2004," $ 82,799 "
04/01/2005,$ 141," $ 331,430 ",,,2010-04,0.46,04/01/2004," $ 79,247 "
05/01/2005,$ 143," $ 335,200 ",,,2010-05,0.1,05/01/2004," $ 84,305 "
06/01/2005,$ 142," $ 330,341 ",,,2010-06,0.11,06/01/2004," $ 81,494 "
07/01/2005,$ 144," $ 334,397 ",,,2010-07,-0.04,07/01/2004," $ 82,185 "
08/01/2005,$ 149," $ 344,425 ",,,2010-08,0.11,08/01/2004," $ 80,580 "
09/01/2005,$ 160," $ 366,458 ",,,2010-09,-0.14,09/01/2004," $ 76,602 "
10/01/2005,$ 168," $ 384,794 ",,,2010-10,-0.09,10/01/2004," $ 79,987 "
11/01/2005,$ 161," $ 367,466 ",,,2010-11,0.19,11/01/2004," $ 75,905 "
12/01/2005,$ 164," $ 374,584 ",,,2010-12,0.65,12/01/2004," $ 74,812 "
01/01/2006,$ 167," $ 380,369 ",,,2011-01,0.91,01/01/2005," $ 73,300 "
02/01/2006,$ 180," $ 405,194 ",,,2011-02,0.6,02/01/2005," $ 65,509 "
03/01/2006,$ 174," $ 395,397 ",,,2011-03,0.27,03/01/2005," $ 73,061 "
04/01/2006,$ 180," $ 424,644 ",,,2011-04,0.12,04/01/2005," $ 70,530 "
05/01/2006,$ 193," $ 464,198 ",,,2011-05,0.28,05/01/2005," $ 72,520 "
06/01/2006,$ 195," $ 497,973 ",,,2011-06,0.32,06/01/2005," $ 69,943 "
07/01/2006,$ 202," $ 511,084 ",,,2011-07,0.14,07/01/2005," $ 72,006 "
08/01/2006,$ 190," $ 454,747 ",,,2011-08,-0.03,08/01/2005," $ 71,510 "
09/01/2006,$ 196," $ 470,054 ",,,2011-09,0.31,09/01/2005," $ 68,864 "
10/01/2006,$ 212," $ 501,700 ",,,2011-10,0.19,10/01/2005," $ 71,074 "
11/01/2006,$ 210," $ 480,468 ",,,2011-11,0.14,11/01/2005," $ 68,392 "
12/01/2006,$ 204," $ 462,423 ",,,2011-12,0.42,12/01/2005," $ 70,635 "
01/01/2007,$ 196," $ 438,284 ",,,2012-01,0.73,01/01/2006," $ 70,485 "
02/01/2007,$ 200," $ 445,094 ",,,2012-02,0.61,02/01/2006," $ 63,162 "
03/01/2007,$ 199," $ 438,122 ",,,2012-03,0.12,03/01/2006," $ 70,119 "
04/01/2007,$ 198," $ 426,171 ",,,2012-04,0.14,04/01/2006," $ 70,054 "
05/01/2007,$ 196," $ 389,993 ",,,2012-05,0.3,05/01/2006," $ 74,978 "
06/01/2007,$ 223," $ 428,516 ",,,2012-06,0.08,06/01/2006," $ 76,267 "
07/01/2007,$ 238," $ 464,001 ",,,2012-07,-0.02,07/01/2006," $ 77,925 "
08/01/2007,$ 260," $ 543,319 ",,,2012-08,0.04,08/01/2006," $ 74,058 "
09/01/2007,$ 327," $ 689,698 ",,,2012-09,0.29,09/01/2006," $ 71,961 "
10/01/2007,$ 335," $ 670,449 ",,,2012-10,0.16,10/01/2006," $ 73,216 "
11/01/2007,$ 322," $ 658,972 ",,,2012-11,-0.14,11/01/2006," $ 68,713 "
12/01/2007,$ 369," $ 743,397 ",,,2012-12,0.09,12/01/2006," $ 70,082 "
01/01/2008,$ 371," $ 733,888 ",,,2013-01,0.3,01/01/2007," $ 69,322 "
02/01/2008,$ 425," $ 810,269 ",,,2013-02,0.44,02/01/2007," $ 62,372 "
03/01/2008,$ 440," $ 811,861 ",,,2013-03,0.21,03/01/2007," $ 68,288 "
04/01/2008,$ 362," $ 650,822 ",,,2013-04,0.25,04/01/2007," $ 64,347 "
05/01/2008,$ 329," $ 585,099 ",,,2013-05,0.28,05/01/2007," $ 62,292 "
06/01/2008,$ 349," $ 597,473 ",,,2013-06,0.23,06/01/2007," $ 57,706 "
07/01/2008,$ 328," $ 585,175 ",,,2013-07,0.04,07/01/2007," $ 60,507 "
08/01/2008,$ 329," $ 608,022 ",,,2013-08,0.08,08/01/2007," $ 63,739 "
09/01/2008,$ 296," $ 611,263 ",,,2013-09,0.29,09/01/2007," $ 63,401 "
10/01/2008,$ 237," $ 543,511 ",,,2013-10,-0.26,10/01/2007," $ 62,034 "
11/01/2008,$ 227," $ 528,183 ",,,2013-11,-0.22,11/01/2007," $ 61,391 "
12/01/2008,$ 220," $ 500,413 ",,,2013-12,0.26,12/01/2007," $ 62,429 "
01/01/2009,$ 239," $ 538,461 ",,,2014-01,0.49,01/01/2008," $ 61,479 "
02/01/2009,$ 225," $ 564,863 ",,,2014-02,0.63,02/01/2008," $ 55,254 "
03/01/2009,$ 231," $ 574,300 ",,,2014-03,0.39,03/01/2008," $ 57,148 "
04/01/2009,$ 233," $ 555,267 ",,,2014-04,0.46,04/01/2008," $ 53,853 "
05/01/2009,$ 261," $ 584,288 ",,,2014-05,0.48,05/01/2008," $ 55,030 "
06/01/2009,$ 257," $ 535,860 ",,,2014-06,0.09,06/01/2008," $ 51,969 "
07/01/2009,$ 225," $ 460,860 ",,,2014-07,0.15,07/01/2008," $ 55,212 "
08/01/2009,$ 210," $ 424,708 ",,,2014-08,0.2,08/01/2008," $ 57,272 "
09/01/2009,$ 191," $ 378,516 ",,,2014-09,0.14,09/01/2008," $ 61,986 "
10/01/2009,$ 199," $ 377,389 ",,,2014-10,0.16,10/01/2008," $ 70,955 "
11/01/2009,$ 211," $ 416,778 ",,,2014-11,0.13,11/01/2008," $ 70,010 "
12/01/2009,$ 206," $ 415,945 ",,,2014-12,0.27,12/01/2008," $ 69,797 "
01/01/2010,$ 201," $ 397,891 ",,,2015-01,0.64,01/01/2009," $ 69,859 "
02/01/2010,$ 194," $ 378,861 ",,,2015-02,1.15,02/01/2009," $ 70,346 "
03/01/2010,$ 191," $ 364,993 ",,,2015-03,0.59,03/01/2009," $ 76,559 "
04/01/2010,$ 193," $ 373,624 ",,,2015-04,0.54,04/01/2009," $ 71,238 "
05/01/2010,$ 182," $ 360,348 ",,,2015-05,0.26,05/01/2009," $ 69,047 "
06/01/2010,$ 158," $ 303,715 ",,,2015-06,0.1,06/01/2009," $ 62,684 "
07/01/2010,$ 196," $ 367,237 ",,,2015-07,0.19,07/01/2009," $ 63,526 "
08/01/2010,$ 246," $ 447,683 ",,,2015-08,0.48,08/01/2009," $ 62,546 "
09/01/2010,$ 272," $ 490,449 ",,,2015-09,0.72,09/01/2009," $ 59,341 "
10/01/2010,$ 270," $ 488,771 ",,,2015-10,0.68,10/01/2009," $ 58,943 "
11/01/2010,$ 274," $ 509,580 ",,,2015-11,0.6,11/01/2009," $ 59,306 "
12/01/2010,$ 307," $ 590,328 ",,,2015-12,0.62,12/01/2009," $ 62,558 "
01/01/2011,$ 327," $ 608,645 ",,,2016-01,1.29,01/01/2010," $ 61,486 "
02/01/2011,$ 348," $ 656,874 ",,,2016-02,1.28,02/01/2010," $ 54,648 "
03/01/2011,$ 317," $ 597,890 ",,,2016-03,0.94,03/01/2010," $ 59,179 "
04/01/2011,$ 336," $ 608,175 ",,,2016-04,0.5,04/01/2010," $ 58,123 "
05/01/2011,$ 355," $ 639,825 ",,,2016-05,0.51,05/01/2010," $ 61,491 "
06/01/2011,$ 326," $ 582,008 ",,,2016-06,0.48,06/01/2010," $ 57,805 "
07/01/2011,$ 304," $ 535,500 ",,,2016-07,0.52,07/01/2010," $ 58,107 "
08/01/2011,$ 327," $ 583,808 ",,,2016-08,-0.32,08/01/2010," $ 56,457 "
09/01/2011,$ 316," $ 581,030 ",,,2016-09,-0.05,09/01/2010," $ 54,173 "
10/01/2011,$ 289," $ 551,853 ",,,2016-10,-0.06,10/01/2010," $ 56,067 "
11/01/2011,$ 281," $ 538,543 ",,,2016-11,0.11,11/01/2010," $ 55,890 "
12/01/2011,$ 269," $ 520,461 ",,,2016-12,0.42,12/01/2010," $ 59,592 "
01/01/2012,$ 275," $ 508,476 ",,,2017-01,1.02,01/01/2011," $ 57,879 "
02/01/2012,$ 278," $ 494,860 ",,,2017-02,1.01,02/01/2011," $ 52,706 "
03/01/2012,$ 284," $ 501,429 ",,,2017-03,0.47,03/01/2011," $ 58,336 "
04/01/2012,$ 266," $ 472,671 ",,,2017-04,0.47,04/01/2011," $ 54,295 "
05/01/2012,$ 264," $ 472,931 ",,,2017-05,0.23,05/01/2011," $ 55,816 "
06/01/2012,$ 276," $ 493,835 ",,,2017-06,0.11,06/01/2011," $ 53,495 "
07/01/2012,$ 346," $ 616,932 ",,,2017-07,-0.05,07/01/2011," $ 54,609 "
08/01/2012,$ 349," $ 631,063 ",,,2017-08,0.14,08/01/2011," $ 55,352 "
09/01/2012,$ 353," $ 636,864 ",,,2017-09,0.04,09/01/2011," $ 55,000 "
10/01/2012,$ 358," $ 645,397 ",,,2017-10,0.02,10/01/2011," $ 59,136 "
11/01/2012,$ 361," $ 656,743 ",,,2017-11,0.18,11/01/2011," $ 57,584 "
12/01/2012,$ 348," $ 625,272 ",,,2017-12,0.38,12/01/2011," $ 59,934 "
01/01/2013,$ 335," $ 593,858 ",,,2018-01,0.63,01/01/2012," $ 57,452 "
02/01/2013,$ 319," $ 571,133 ",,,2018-02,0.71,02/01/2012," $ 51,700 "
03/01/2013,$ 310," $ 561,376 ",,,2018-03,0.24,03/01/2012," $ 54,756 "
04/01/2013,$ 308," $ 564,327 ",,,2018-04,0.46,04/01/2012," $ 53,227 "
05/01/2013,$ 320," $ 590,505 ",,,2018-05,0.25,05/01/2012," $ 55,592 "
06/01/2013,$ 313," $ 597,546 ",,,2018-06,0.15,06/01/2012," $ 53,776 "
07/01/2013,$ 305," $ 579,582 ",,,2018-07,-0.13,07/01/2012," $ 55,298 "
08/01/2013,$ 305," $ 581,312 ",,,2018-08,0.12,08/01/2012," $ 55,971 "
09/01/2013,$ 308," $ 590,051 ",,,2018-09,0.16,09/01/2012," $ 54,082 "
10/01/2013,$ 326," $ 614,224 ",,,2018-10,0.12,10/01/2012," $ 55,936 "
11/01/2013,$ 307," $ 589,052 ",,,2018-11,0.12,11/01/2012," $ 54,630 "
12/01/2013,$ 292," $ 564,389 ",,,2018-12,0.3,12/01/2012," $ 55,567 "
01/01/2014,$ 276," $ 540,718 ",,,2019-01,0.6,01/01/2013," $ 54,860 "
02/01/2014,$ 292," $ 596,083 ",,,2019-02,0.57,02/01/2013," $ 50,135 "
03/01/2014,$ 324," $ 654,273 ",,,2019-03,0.43,03/01/2013," $ 56,226 "
04/01/2014,$ 325," $ 629,861 ",,,2019-04,0.5,04/01/2013," $ 54,907 "
05/01/2014,$ 335," $ 641,769 ",,,2019-05,0.31,05/01/2013," $ 57,286 "
06/01/2014,$ 306," $ 578,707 ",,,2019-06,0.27,06/01/2013," $ 57,295 "
07/01/2014,$ 280," $ 521,113 ",,,2019-07,0.22,07/01/2013," $ 58,948 "
08/01/2014,$ 263," $ 500,123 ",,,2019-08,0.09,08/01/2013," $ 58,965 "
09/01/2014,$ 244," $ 480,831 ",,,2019-09,0.23,09/01/2013," $ 57,585 "
10/01/2014,$ 245," $ 502,427 ",,,2019-10,0.16,10/01/2013," $ 58,439 "
11/01/2014,$ 259," $ 549,050 ",,,2019-11,0.1,11/01/2013," $ 57,653 "
12/01/2014,$ 270," $ 631,204 ",,,2019-12,0.26,12/01/2013," $ 59,922 "
01/01/2015,$ 248," $ 595,824 ",,,2020-01,0.42,01/01/2014," $ 60,676 "
02/01/2015,$ 237," $ 574,794 ",,,2020-02,0.67,02/01/2014," $ 57,078 "
03/01/2015,$ 231," $ 596,853 ",,,2020-03,0.57,03/01/2014," $ 62,611 "
04/01/2015,$ 223," $ 557,468 ",,,2020-04,0.16,04/01/2014," $ 58,151 "
05/01/2015,$ 215," $ 524,453 ",,,2020-05,-0.32,05/01/2014," $ 59,376 "
06/01/2015,$ 210," $ 536,257 ",,,2020-06,-0.38,06/01/2014," $ 56,611 "
07/01/2015,$ 197," $ 540,008 ",,,2020-07,0,07/01/2014," $ 57,587 "
08/01/2015,$ 180," $ 543,033 ",,,2020-08,-0.01,08/01/2014," $ 58,842 "
09/01/2015,$ 173," $ 530,099 ",,,2020-09,0.32,09/01/2014," $ 59,212 "
10/01/2015,$ 173," $ 507,646 ",,,2020-10,-0.06,10/01/2014," $ 63,506 "
11/01/2015,$ 177," $ 527,273 ",,,2020-11,-0.15,11/01/2014," $ 63,861 "
12/01/2015,$ 189," $ 615,197 ",,,2020-12,0.38,12/01/2014," $ 72,610 "
01/01/2016,$ 193," $ 634,444 ",,,2021-01,0.41,01/01/2015," $ 74,315 "
02/01/2016,$ 187," $ 627,465 ",,,2021-02,0.64,02/01/2015," $ 67,779 "
03/01/2016,$ 191," $ 603,051 ",,,2021-03,0.51,03/01/2015," $ 80,146 "
04/01/2016,$ 187," $ 561,929 ",,,2021-04,0.59,04/01/2015," $ 75,157 "
05/01/2016,$ 172," $ 513,728 ",,,2021-05,1,05/01/2015," $ 75,564 "
06/01/2016,$ 173," $ 518,394 ",,,2021-06,-0.05,06/01/2015," $ 76,874 "
