mes_trigo;precio_dolar_trigo_ton;precio_COP_trigo_ton;a¤o_impo;impo_canti_miles_ton;fecha_ipc;ipc %;fecha_trm; trm 
1/07/1996;$ 203; $ 215.587 ;2003;1246;2001-07;0,11;1/07/1995; $ 27.662 
1/08/1996;$ 192; $ 200.289 ;2004;1248;2001-08;0,26;1/08/1995; $ 29.006 
1/09/1996;$ 179; $ 186.012 ;2005;1311;2001-09;0,37;1/09/1995; $ 28.901 
1/10/1996;$ 178; $ 180.808 ;2006;1241;2001-10;0,19;1/10/1995; $ 30.538 
1/11/1996;$ 176; $ 176.125 ;2007;1309;2001-11;0,12;1/11/1995; $ 30.013 
1/12/1996;$ 176; $ 175.854 ;2008;1403;2001-12;0,34;1/12/1995; $ 30.601 
1/01/1997;$ 176; $ 180.627 ;2009;1424;2002-01;0,8;1/01/1996; $ 31.317 
1/02/1997;$ 172; $ 185.146 ;2010;1479;2002-02;1,26;1/02/1996; $ 29.844 
1/03/1997;$ 177; $ 187.568 ;2011;1525;2002-03;0,71;1/03/1996; $ 32.394 
1/04/1997;$ 183; $ 194.619 ;2012;1507;2002-04;0,92;1/04/1996; $ 31.521 
1/05/1997;$ 173; $ 185.492 ;2013;1746;2002-05;0,6;1/05/1996; $ 33.039 
1/06/1997;$ 148; $ 160.579 ;2014;1627;2002-06;0,43;1/06/1996; $ 32.148 
1/07/1997;$ 136; $ 150.157 ;2015;2032;2002-07;0,02;1/07/1996; $ 32.983 
1/08/1997;$ 151; $ 170.445 ;2016;2110;2002-08;0,09;1/08/1996; $ 32.396 
1/09/1997;$ 152; $ 185.501 ;2017;1952;2002-09;0,36;1/09/1996; $ 31.204 
1/10/1997;$ 152; $ 191.457 ;2018;1705;2002-10;0,56;1/10/1996; $ 31.479 
1/11/1997;$ 150; $ 193.980 ;2019;2276;2002-11;0,78;1/11/1996; $ 29.960 
1/12/1997;$ 145; $ 187.473 ;2020;1906;2002-12;0,27;1/12/1996; $ 31.050 
1/01/1998;$ 137; $ 181.356 ;2021;2040;2003-01;1,17;1/01/1997; $ 31.753 
1/02/1998;$ 140; $ 188.524 ;2022;2300;2003-02;1,11;1/02/1997; $ 30.043 
1/03/1998;$ 139; $ 188.528 ;;;2003-03;1,05;1/03/1997; $ 32.922 
1/04/1998;$ 130; $ 177.080 ;;;2003-04;1,15;1/04/1997; $ 31.807 
1/05/1998;$ 129; $ 178.771 ;;;2003-05;0,49;1/05/1997; $ 33.310 
1/06/1998;$ 121; $ 167.163 ;;;2003-06;-0,05;1/06/1997; $ 32.466 
1/07/1998;$ 119; $ 163.103 ;;;2003-07;-0,14;1/07/1997; $ 34.178 
1/08/1998;$ 108; $ 149.905 ;;;2003-08;0,31;1/08/1997; $ 35.142 
1/09/1998;$ 108; $ 164.110 ;;;2003-09;0,22;1/09/1997; $ 36.685 
1/10/1998;$ 127; $ 200.886 ;;;2003-10;0,06;1/10/1997; $ 39.143 
1/11/1998;$ 130; $ 203.561 ;;;2003-11;0,35;1/11/1997; $ 38.837 
1/12/1998;$ 126; $ 192.136 ;;;2003-12;0,61;1/12/1997; $ 40.163 
1/01/1999;$ 125; $ 196.678 ;;;2004-01;0,89;1/01/1998; $ 40.964 
1/02/1999;$ 117; $ 183.401 ;;;2004-02;1,2;1/02/1998; $ 37.696 
1/03/1999;$ 117; $ 181.864 ;;;2004-03;0,98;1/03/1998; $ 42.071 
1/04/1999;$ 114; $ 179.560 ;;;2004-04;0,46;1/04/1998; $ 40.798 
1/05/1999;$ 113; $ 184.962 ;;;2004-05;0,38;1/05/1998; $ 42.946 
1/06/1999;$ 111; $ 188.664 ;;;2004-06;0,6;1/06/1998; $ 41.535 
1/07/1999;$ 103; $ 187.044 ;;;2004-07;-0,03;1/07/1998; $ 42.522 
1/08/1999;$ 111; $ 208.547 ;;;2004-08;0,03;1/08/1998; $ 43.112 
1/09/1999;$ 113; $ 223.844 ;;;2004-09;0,3;1/09/1998; $ 45.704 
1/10/1999;$ 108; $ 213.871 ;;;2004-10;-0,01;1/10/1998; $ 49.228 
1/11/1999;$ 109; $ 211.795 ;;;2004-11;0,28;1/11/1998; $ 46.865 
1/12/1999;$ 102; $ 192.868 ;;;2004-12;0,3;1/12/1998; $ 47.135 
1/01/2000;$ 106; $ 203.666 ;;;2005-01;0,82;1/01/1999; $ 48.607 
1/02/2000;$ 108; $ 210.533 ;;;2005-02;1,02;1/02/1999; $ 43.872 
1/03/2000;$ 106; $ 206.761 ;;;2005-03;0,77;1/03/1999; $ 48.025 
1/04/2000;$ 105; $ 208.927 ;;;2005-04;0,44;1/04/1999; $ 47.119 
1/05/2000;$ 112; $ 230.468 ;;;2005-05;0,41;1/05/1999; $ 50.908 
1/06/2000;$ 114; $ 240.700 ;;;2005-06;0,4;1/06/1999; $ 50.748 
1/07/2000;$ 109; $ 235.534 ;;;2005-07;0,05;1/07/1999; $ 56.254 
1/08/2000;$ 108; $ 237.023 ;;;2005-08;0;1/08/1999; $ 58.249 
1/09/2000;$ 117; $ 260.095 ;;;2005-09;0,43;1/09/1999; $ 59.279 
1/10/2000;$ 128; $ 279.022 ;;;2005-10;0,23;1/10/1999; $ 61.335 
1/11/2000;$ 128; $ 272.868 ;;;2005-11;0,11;1/11/1999; $ 58.363 
1/12/2000;$ 128; $ 279.448 ;;;2005-12;0,07;1/12/1999; $ 58.512 
1/01/2001;$ 133; $ 297.748 ;;;2006-01;0,54;1/01/2000; $ 59.578 
1/02/2001;$ 128; $ 287.405 ;;;2006-02;0,66;1/02/2000; $ 56.546 
1/03/2001;$ 130; $ 296.600 ;;;2006-03;0,7;1/03/2000; $ 60.645 
1/04/2001;$ 130; $ 301.236 ;;;2006-04;0,45;1/04/2000; $ 59.639 
1/05/2001;$ 135; $ 316.186 ;;;2006-05;0,33;1/05/2000; $ 63.721 
1/06/2001;$ 127; $ 293.306 ;;;2006-06;0,3;1/06/2000; $ 63.592 
1/07/2001;$ 124; $ 285.214 ;;;2006-07;0,41;1/07/2000; $ 66.967 
1/08/2001;$ 122; $ 279.034 ;;;2006-08;0,39;1/08/2000; $ 67.805 
1/09/2001;$ 122; $ 284.154 ;;;2006-09;0,29;1/09/2000; $ 66.424 
1/10/2001;$ 123; $ 286.292 ;;;2006-10;-0,14;1/10/2000; $ 67.474 
1/11/2001;$ 125; $ 289.397 ;;;2006-11;0,24;1/11/2000; $ 64.059 
1/12/2001;$ 122; $ 282.588 ;;;2006-12;0,23;1/12/2000; $ 67.808 
1/01/2002;$ 125; $ 285.192 ;;;2007-01;0,77;1/01/2001; $ 69.512 
1/02/2002;$ 123; $ 282.031 ;;;2007-02;1,17;1/02/2001; $ 62.820 
1/03/2002;$ 123; $ 279.540 ;;;2007-03;1,21;1/03/2001; $ 70.662 
1/04/2002;$ 124; $ 279.991 ;;;2007-04;0,9;1/04/2001; $ 69.696 
1/05/2002;$ 121; $ 280.321 ;;;2007-05;0,3;1/05/2001; $ 72.788 
1/06/2002;$ 132; $ 311.685 ;;;2007-06;0,12;1/06/2001; $ 69.143 
1/07/2002;$ 149; $ 373.578 ;;;2007-07;0,17;1/07/2001; $ 71.437 
1/08/2002;$ 161; $ 426.570 ;;;2007-08;-0,13;1/08/2001; $ 70.928 
1/09/2002;$ 188; $ 516.792 ;;;2007-09;0,08;1/09/2001; $ 69.832 
1/10/2002;$ 190; $ 538.467 ;;;2007-10;0,01;1/10/2001; $ 71.920 
1/11/2002;$ 177; $ 484.702 ;;;2007-11;0,47;1/11/2001; $ 69.310 
1/12/2002;$ 162; $ 457.086 ;;;2007-12;0,49;1/12/2001; $ 71.490 
1/01/2003;$ 150; $ 435.328 ;;;2008-01;1,06;1/01/2002; $ 70.586 
1/02/2003;$ 151; $ 445.237 ;;;2008-02;1,51;1/02/2002; $ 64.007 
1/03/2003;$ 142; $ 419.616 ;;;2008-03;0,81;1/03/2002; $ 70.688 
1/04/2003;$ 139; $ 405.660 ;;;2008-04;0,71;1/04/2002; $ 67.908 
1/05/2003;$ 142; $ 405.805 ;;;2008-05;0,93;1/05/2002; $ 71.567 
1/06/2003;$ 131; $ 371.320 ;;;2008-06;0,86;1/06/2002; $ 70.834 
1/07/2003;$ 132; $ 376.279 ;;;2008-07;0,48;1/07/2002; $ 77.695 
1/08/2003;$ 149; $ 426.482 ;;;2008-08;0,19;1/08/2002; $ 82.020 
1/09/2003;$ 146; $ 413.572 ;;;2008-09;-0,19;1/09/2002; $ 82.673 
1/10/2003;$ 147; $ 424.124 ;;;2008-10;0,35;1/10/2002; $ 87.733 
1/11/2003;$ 161; $ 456.692 ;;;2008-11;0,28;1/11/2002; $ 81.940 
1/12/2003;$ 166; $ 465.026 ;;;2008-12;0,44;1/12/2002; $ 87.240 
1/01/2004;$ 166; $ 457.306 ;;;2009-01;0,59;1/01/2003; $ 90.071 
1/02/2004;$ 161; $ 438.649 ;;;2009-02;0,84;1/02/2003; $ 82.615 
1/03/2004;$ 166; $ 444.101 ;;;2009-03;0,5;1/03/2003; $ 91.718 
1/04/2004;$ 167; $ 439.164 ;;;2009-04;0,32;1/04/2003; $ 87.770 
1/05/2004;$ 164; $ 445.205 ;;;2009-05;0,01;1/05/2003; $ 88.541 
1/06/2004;$ 155; $ 419.999 ;;;2009-06;-0,06;1/06/2003; $ 84.822 
1/07/2004;$ 151; $ 399.740 ;;;2009-07;-0,04;1/07/2003; $ 88.635 
1/08/2004;$ 141; $ 367.597 ;;;2009-08;0,04;1/08/2003; $ 88.822 
1/09/2004;$ 151; $ 385.453 ;;;2009-09;-0,11;1/09/2003; $ 85.220 
1/10/2004;$ 150; $ 387.826 ;;;2009-10;-0,13;1/10/2003; $ 89.092 
1/11/2004;$ 157; $ 395.982 ;;;2009-11;-0,07;1/11/2003; $ 85.396 
1/12/2004;$ 154; $ 371.892 ;;;2009-12;0,08;1/12/2003; $ 87.003 
1/01/2005;$ 154; $ 362.900 ;;;2010-01;0,69;1/01/2004; $ 85.275 
1/02/2005;$ 151; $ 353.841 ;;;2010-02;0,83;1/02/2004; $ 78.829 
1/03/2005;$ 151; $ 355.380 ;;;2010-03;0,25;1/03/2004; $ 82.799 
1/04/2005;$ 141; $ 331.430 ;;;2010-04;0,46;1/04/2004; $ 79.247 
1/05/2005;$ 143; $ 335.200 ;;;2010-05;0,1;1/05/2004; $ 84.305 
1/06/2005;$ 142; $ 330.341 ;;;2010-06;0,11;1/06/2004; $ 81.494 
1/07/2005;$ 144; $ 334.397 ;;;2010-07;-0,04;1/07/2004; $ 82.185 
1/08/2005;$ 149; $ 344.425 ;;;2010-08;0,11;1/08/2004; $ 80.580 
1/09/2005;$ 160; $ 366.458 ;;;2010-09;-0,14;1/09/2004; $ 76.602 
1/10/2005;$ 168; $ 384.794 ;;;2010-10;-0,09;1/10/2004; $ 79.987 
1/11/2005;$ 161; $ 367.466 ;;;2010-11;0,19;1/11/2004; $ 75.905 
1/12/2005;$ 164; $ 374.584 ;;;2010-12;0,65;1/12/2004; $ 74.812 
1/01/2006;$ 167; $ 380.369 ;;;2011-01;0,91;1/01/2005; $ 73.300 
1/02/2006;$ 180; $ 405.194 ;;;2011-02;0,6;1/02/2005; $ 65.509 
1/03/2006;$ 174; $ 395.397 ;;;2011-03;0,27;1/03/2005; $ 73.061 
1/04/2006;$ 180; $ 424.644 ;;;2011-04;0,12;1/04/2005; $ 70.530 
1/05/2006;$ 193; $ 464.198 ;;;2011-05;0,28;1/05/2005; $ 72.520 
1/06/2006;$ 195; $ 497.973 ;;;2011-06;0,32;1/06/2005; $ 69.943 
1/07/2006;$ 202; $ 511.084 ;;;2011-07;0,14;1/07/2005; $ 72.006 
1/08/2006;$ 190; $ 454.747 ;;;2011-08;-0,03;1/08/2005; $ 71.510 
1/09/2006;$ 196; $ 470.054 ;;;2011-09;0,31;1/09/2005; $ 68.864 
1/10/2006;$ 212; $ 501.700 ;;;2011-10;0,19;1/10/2005; $ 71.074 
1/11/2006;$ 210; $ 480.468 ;;;2011-11;0,14;1/11/2005; $ 68.392 
1/12/2006;$ 204; $ 462.423 ;;;2011-12;0,42;1/12/2005; $ 70.635 
1/01/2007;$ 196; $ 438.284 ;;;2012-01;0,73;1/01/2006; $ 70.485 
1/02/2007;$ 200; $ 445.094 ;;;2012-02;0,61;1/02/2006; $ 63.162 
1/03/2007;$ 199; $ 438.122 ;;;2012-03;0,12;1/03/2006; $ 70.119 
1/04/2007;$ 198; $ 426.171 ;;;2012-04;0,14;1/04/2006; $ 70.054 
1/05/2007;$ 196; $ 389.993 ;;;2012-05;0,3;1/05/2006; $ 74.978 
1/06/2007;$ 223; $ 428.516 ;;;2012-06;0,08;1/06/2006; $ 76.267 
1/07/2007;$ 238; $ 464.001 ;;;2012-07;-0,02;1/07/2006; $ 77.925 
1/08/2007;$ 260; $ 543.319 ;;;2012-08;0,04;1/08/2006; $ 74.058 
1/09/2007;$ 327; $ 689.698 ;;;2012-09;0,29;1/09/2006; $ 71.961 
1/10/2007;$ 335; $ 670.449 ;;;2012-10;0,16;1/10/2006; $ 73.216 
1/11/2007;$ 322; $ 658.972 ;;;2012-11;-0,14;1/11/2006; $ 68.713 
1/12/2007;$ 369; $ 743.397 ;;;2012-12;0,09;1/12/2006; $ 70.082 
1/01/2008;$ 371; $ 733.888 ;;;2013-01;0,3;1/01/2007; $ 69.322 
1/02/2008;$ 425; $ 810.269 ;;;2013-02;0,44;1/02/2007; $ 62.372 
1/03/2008;$ 440; $ 811.861 ;;;2013-03;0,21;1/03/2007; $ 68.288 
1/04/2008;$ 362; $ 650.822 ;;;2013-04;0,25;1/04/2007; $ 64.347 
1/05/2008;$ 329; $ 585.099 ;;;2013-05;0,28;1/05/2007; $ 62.292 
1/06/2008;$ 349; $ 597.473 ;;;2013-06;0,23;1/06/2007; $ 57.706 
1/07/2008;$ 328; $ 585.175 ;;;2013-07;0,04;1/07/2007; $ 60.507 
1/08/2008;$ 329; $ 608.022 ;;;2013-08;0,08;1/08/2007; $ 63.739 
1/09/2008;$ 296; $ 611.263 ;;;2013-09;0,29;1/09/2007; $ 63.401 
1/10/2008;$ 237; $ 543.511 ;;;2013-10;-0,26;1/10/2007; $ 62.034 
1/11/2008;$ 227; $ 528.183 ;;;2013-11;-0,22;1/11/2007; $ 61.391 
1/12/2008;$ 220; $ 500.413 ;;;2013-12;0,26;1/12/2007; $ 62.429 
1/01/2009;$ 239; $ 538.461 ;;;2014-01;0,49;1/01/2008; $ 61.479 
1/02/2009;$ 225; $ 564.863 ;;;2014-02;0,63;1/02/2008; $ 55.254 
1/03/2009;$ 231; $ 574.300 ;;;2014-03;0,39;1/03/2008; $ 57.148 
1/04/2009;$ 233; $ 555.267 ;;;2014-04;0,46;1/04/2008; $ 53.853 
1/05/2009;$ 261; $ 584.288 ;;;2014-05;0,48;1/05/2008; $ 55.030 
1/06/2009;$ 257; $ 535.860 ;;;2014-06;0,09;1/06/2008; $ 51.969 
1/07/2009;$ 225; $ 460.860 ;;;2014-07;0,15;1/07/2008; $ 55.212 
1/08/2009;$ 210; $ 424.708 ;;;2014-08;0,2;1/08/2008; $ 57.272 
1/09/2009;$ 191; $ 378.516 ;;;2014-09;0,14;1/09/2008; $ 61.986 
1/10/2009;$ 199; $ 377.389 ;;;2014-10;0,16;1/10/2008; $ 70.955 
1/11/2009;$ 211; $ 416.778 ;;;2014-11;0,13;1/11/2008; $ 70.010 
1/12/2009;$ 206; $ 415.945 ;;;2014-12;0,27;1/12/2008; $ 69.797 
1/01/2010;$ 201; $ 397.891 ;;;2015-01;0,64;1/01/2009; $ 69.859 
1/02/2010;$ 194; $ 378.861 ;;;2015-02;1,15;1/02/2009; $ 70.346 
1/03/2010;$ 191; $ 364.993 ;;;2015-03;0,59;1/03/2009; $ 76.559 
1/04/2010;$ 193; $ 373.624 ;;;2015-04;0,54;1/04/2009; $ 71.238 
1/05/2010;$ 182; $ 360.348 ;;;2015-05;0,26;1/05/2009; $ 69.047 
1/06/2010;$ 158; $ 303.715 ;;;2015-06;0,1;1/06/2009; $ 62.684 
1/07/2010;$ 196; $ 367.237 ;;;2015-07;0,19;1/07/2009; $ 63.526 
1/08/2010;$ 246; $ 447.683 ;;;2015-08;0,48;1/08/2009; $ 62.546 
1/09/2010;$ 272; $ 490.449 ;;;2015-09;0,72;1/09/2009; $ 59.341 
1/10/2010;$ 270; $ 488.771 ;;;2015-10;0,68;1/10/2009; $ 58.943 
1/11/2010;$ 274; $ 509.580 ;;;2015-11;0,6;1/11/2009; $ 59.306 
1/12/2010;$ 307; $ 590.328 ;;;2015-12;0,62;1/12/2009; $ 62.558 
1/01/2011;$ 327; $ 608.645 ;;;2016-01;1,29;1/01/2010; $ 61.486 
1/02/2011;$ 348; $ 656.874 ;;;2016-02;1,28;1/02/2010; $ 54.648 
1/03/2011;$ 317; $ 597.890 ;;;2016-03;0,94;1/03/2010; $ 59.179 
1/04/2011;$ 336; $ 608.175 ;;;2016-04;0,5;1/04/2010; $ 58.123 
1/05/2011;$ 355; $ 639.825 ;;;2016-05;0,51;1/05/2010; $ 61.491 
1/06/2011;$ 326; $ 582.008 ;;;2016-06;0,48;1/06/2010; $ 57.805 
1/07/2011;$ 304; $ 535.500 ;;;2016-07;0,52;1/07/2010; $ 58.107 
1/08/2011;$ 327; $ 583.808 ;;;2016-08;-0,32;1/08/2010; $ 56.457 
1/09/2011;$ 316; $ 581.030 ;;;2016-09;-0,05;1/09/2010; $ 54.173 
1/10/2011;$ 289; $ 551.853 ;;;2016-10;-0,06;1/10/2010; $ 56.067 
1/11/2011;$ 281; $ 538.543 ;;;2016-11;0,11;1/11/2010; $ 55.890 
1/12/2011;$ 269; $ 520.461 ;;;2016-12;0,42;1/12/2010; $ 59.592 
1/01/2012;$ 275; $ 508.476 ;;;2017-01;1,02;1/01/2011; $ 57.879 
1/02/2012;$ 278; $ 494.860 ;;;2017-02;1,01;1/02/2011; $ 52.706 
1/03/2012;$ 284; $ 501.429 ;;;2017-03;0,47;1/03/2011; $ 58.336 
1/04/2012;$ 266; $ 472.671 ;;;2017-04;0,47;1/04/2011; $ 54.295 
1/05/2012;$ 264; $ 472.931 ;;;2017-05;0,23;1/05/2011; $ 55.816 
1/06/2012;$ 276; $ 493.835 ;;;2017-06;0,11;1/06/2011; $ 53.495 
1/07/2012;$ 346; $ 616.932 ;;;2017-07;-0,05;1/07/2011; $ 54.609 
1/08/2012;$ 349; $ 631.063 ;;;2017-08;0,14;1/08/2011; $ 55.352 
1/09/2012;$ 353; $ 636.864 ;;;2017-09;0,04;1/09/2011; $ 55.000 
1/10/2012;$ 358; $ 645.397 ;;;2017-10;0,02;1/10/2011; $ 59.136 
1/11/2012;$ 361; $ 656.743 ;;;2017-11;0,18;1/11/2011; $ 57.584 
1/12/2012;$ 348; $ 625.272 ;;;2017-12;0,38;1/12/2011; $ 59.934 
1/01/2013;$ 335; $ 593.858 ;;;2018-01;0,63;1/01/2012; $ 57.452 
1/02/2013;$ 319; $ 571.133 ;;;2018-02;0,71;1/02/2012; $ 51.700 
1/03/2013;$ 310; $ 561.376 ;;;2018-03;0,24;1/03/2012; $ 54.756 
1/04/2013;$ 308; $ 564.327 ;;;2018-04;0,46;1/04/2012; $ 53.227 
1/05/2013;$ 320; $ 590.505 ;;;2018-05;0,25;1/05/2012; $ 55.592 
1/06/2013;$ 313; $ 597.546 ;;;2018-06;0,15;1/06/2012; $ 53.776 
1/07/2013;$ 305; $ 579.582 ;;;2018-07;-0,13;1/07/2012; $ 55.298 
1/08/2013;$ 305; $ 581.312 ;;;2018-08;0,12;1/08/2012; $ 55.971 
1/09/2013;$ 308; $ 590.051 ;;;2018-09;0,16;1/09/2012; $ 54.082 
1/10/2013;$ 326; $ 614.224 ;;;2018-10;0,12;1/10/2012; $ 55.936 
1/11/2013;$ 307; $ 589.052 ;;;2018-11;0,12;1/11/2012; $ 54.630 
1/12/2013;$ 292; $ 564.389 ;;;2018-12;0,3;1/12/2012; $ 55.567 
1/01/2014;$ 276; $ 540.718 ;;;2019-01;0,6;1/01/2013; $ 54.860 
1/02/2014;$ 292; $ 596.083 ;;;2019-02;0,57;1/02/2013; $ 50.135 
1/03/2014;$ 324; $ 654.273 ;;;2019-03;0,43;1/03/2013; $ 56.226 
1/04/2014;$ 325; $ 629.861 ;;;2019-04;0,5;1/04/2013; $ 54.907 
1/05/2014;$ 335; $ 641.769 ;;;2019-05;0,31;1/05/2013; $ 57.286 
1/06/2014;$ 306; $ 578.707 ;;;2019-06;0,27;1/06/2013; $ 57.295 
1/07/2014;$ 280; $ 521.113 ;;;2019-07;0,22;1/07/2013; $ 58.948 
1/08/2014;$ 263; $ 500.123 ;;;2019-08;0,09;1/08/2013; $ 58.965 
1/09/2014;$ 244; $ 480.831 ;;;2019-09;0,23;1/09/2013; $ 57.585 
1/10/2014;$ 245; $ 502.427 ;;;2019-10;0,16;1/10/2013; $ 58.439 
1/11/2014;$ 259; $ 549.050 ;;;2019-11;0,1;1/11/2013; $ 57.653 
1/12/2014;$ 270; $ 631.204 ;;;2019-12;0,26;1/12/2013; $ 59.922 
1/01/2015;$ 248; $ 595.824 ;;;2020-01;0,42;1/01/2014; $ 60.676 
1/02/2015;$ 237; $ 574.794 ;;;2020-02;0,67;1/02/2014; $ 57.078 
1/03/2015;$ 231; $ 596.853 ;;;2020-03;0,57;1/03/2014; $ 62.611 
1/04/2015;$ 223; $ 557.468 ;;;2020-04;0,16;1/04/2014; $ 58.151 
1/05/2015;$ 215; $ 524.453 ;;;2020-05;-0,32;1/05/2014; $ 59.376 
1/06/2015;$ 210; $ 536.257 ;;;2020-06;-0,38;1/06/2014; $ 56.611 
1/07/2015;$ 197; $ 540.008 ;;;2020-07;0;1/07/2014; $ 57.587 
1/08/2015;$ 180; $ 543.033 ;;;2020-08;-0,01;1/08/2014; $ 58.842 
1/09/2015;$ 173; $ 530.099 ;;;2020-09;0,32;1/09/2014; $ 59.212 
1/10/2015;$ 173; $ 507.646 ;;;2020-10;-0,06;1/10/2014; $ 63.506 
1/11/2015;$ 177; $ 527.273 ;;;2020-11;-0,15;1/11/2014; $ 63.861 
1/12/2015;$ 189; $ 615.197 ;;;2020-12;0,38;1/12/2014; $ 72.610 
1/01/2016;$ 193; $ 634.444 ;;;2021-01;0,41;1/01/2015; $ 74.315 
1/02/2016;$ 187; $ 627.465 ;;;2021-02;0,64;1/02/2015; $ 67.779 
1/03/2016;$ 191; $ 603.051 ;;;2021-03;0,51;1/03/2015; $ 80.146 
1/04/2016;$ 187; $ 561.929 ;;;2021-04;0,59;1/04/2015; $ 75.157 
1/05/2016;$ 172; $ 513.728 ;;;2021-05;1;1/05/2015; $ 75.564 
1/06/2016;$ 173; $ 518.394 ;;;2021-06;-0,05;1/06/2015; $ 76.874 
1/07/2016;$ 152; $ 449.536 ;;;2021-07;0,32;1/07/2015; $ 84.693 
1/08/2016;$ 149; $ 442.356 ;;;2021-08;0,45;1/08/2015; $ 93.390 
1/09/2016;$ 151; $ 440.107 ;;;2021-09;0,38;1/09/2015; $ 91.992 
1/10/2016;$ 152; $ 444.757 ;;;2021-10;0,01;1/10/2015; $ 90.814 
1/11/2016;$ 151; $ 466.635 ;;;2021-11;0,5;1/11/2015; $ 90.041 
1/12/2016;$ 142; $ 426.840 ;;;2021-12;0,73;1/12/2015; $ 100.570 
